scientific_name,taxonomy,class,order,family,genus
"Allopeas clavulinum (Potiez & Michaud, 1835)","Well-defined species. For the correct authorship of the name Allopeas clavulinum (Potiez & Michaud, 1835) see Bank & Menkhorst (2008).
The species is also known as Lamellaxis clavulinus.","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Allopeas H. B. Baker, 1935"
"Ambigolimax valentianus (A. Férussac, 1822)","Well-defined species.
Until recently better known as Lehmannia valentiana","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Limacidae Lamarck, 1801","Ambigolimax Pollonera, 1887"
"Arion vulgaris Moquin-Tandon, 1855","The scientific name of this species is not yet firmly established. Formerly the species was often referred to as Arion lusitanicus Mabille, 1868, until it appeared that Mabille's taxon from Portugal is another species. Yet, many authors continued to use the name Arion lusitanicus for the invasive species using the authorship “auctorum, non Mabille, 1868”. Alternatively, the name Arion vulgaris Moquin-Tandon 1855 has been proposed for the invasive species. The case is currently presented to the ICZN (Balashov 2018).","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819"
"Boettgerilla pallens Simroth, 1912",Well-defined species,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Boettgerillidae Wiktor & I.M. Likharev, 1979","Boettgerilla Simroth, 1910"
"Candidula intersecta (Poiret, 1801)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Candidula Kobelt, 1871"
"Cernuella aginnica (Locard, 1882)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cernuella Schlüter, 1838"
"Cernuella cisalpina (Rossmässler, 1837)","The species status of this taxon is still not entirely clear. Hausdorf & Sauer (2009) for example suggest that it is conspecific with Cernuella virgata, while Manganelli et al. (2005) treated C. cisalpina and C. virgata as different species, while Manganelli et al. (1995) discuss the problems and maintain the two species. Welter-Schultes (2012) supports the latter opinion, but suggests that “C. cisalpina” populations outside Italy might still be another species or could represent a small form of C. virgata. Hybridization between C. cisalpina and C. virgata has been suggested (Kerney & Cameron 1980 as C. jonica; Van Goethem 1988 Note 83 as C. jonica).
For the time being we keep C. cisalpina as a separate species.","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1910","Cernuella Schlüter, 1839"
"Cernuella neglecta (Draparnaud, 1805)",Well-defined species,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1910","Cernuella Schlüter, 1839"
"Cernuella virgata (Da Costa, 1778)",Well-defined species.,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1910","Cernuella Schlüter, 1839"
"Cochlicella acuta (O.F. Müller, 1774)","Well-defined species. In older Belgian literature it has sometimes been confused with Cochlicella barbara (Linnaeus, 1758).","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1910","Cochlicella A. Férussac, 1821"
"Cochlicella barbara (Linnaeus, 1758)","Well-defined species. In older Belgian literature it has sometimes been confused with Cochlicella acuta (O.F. Müller, 1774).","Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1910","Cochlicella A. Férussac, 1821"
"Cochlostoma septemspirale (Razoumowsky, 1789)",Well-defined species.,"Gastropoda Cuvier, 1795","Architaenioglossa Haller, 1890","Megalostomatidae W.T. Blanford, 1864","Cochlostoma Jan, 1830"
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",Well-defined species. The species has long time been confused with Deroceras panormitanum and Deroceras caruanae. For an indepth background on this see Reise et al. (2011).,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Agriolimacidae H. Wagner, 1935","Deroceras Rafinesque, 1820"
